no,name,category,chapter,search,search_alt,slug,group,match,url,license,credit,page
001,주먹도끼,선사,2,전곡리 주먹도끼,Jeongok-ri Paleolithic site handaxe,주먹도끼,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5c/Handaxe._Jeongok_ri._Gyeonggi_do._National_Museum_of_Korea.jpg/960px-Handaxe._Jeongok_ri._Gyeonggi_do._National_Museum_of_Korea.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"Ismoon ( talk ) 19:51, 23 May 2018 (UTC)",https://commons.wikimedia.org/wiki/File:Handaxe._Jeongok_ri._Gyeonggi_do._National_Museum_of_Korea.jpg
002,슴베찌르개,선사,2,슴베찌르개 구석기,tanged point Korea paleolithic,슴베찌르개,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/Tanged_Points._National_Museum_of_Korea.jpg/960px-Tanged_Points._National_Museum_of_Korea.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"Ismoon ( talk ) 20:36, 8 June 2018 (UTC)",https://commons.wikimedia.org/wiki/File:Tanged_Points._National_Museum_of_Korea.jpg
003,빗살무늬 토기,선사,2,빗살무늬토기,Jeulmun comb pattern pottery,빗살무늬_토기,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/%D0%9C%D0%B8%D0%B3%D1%80%D0%B0%D1%86%D0%B8%D0%B8_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4%D0%B0_-_%D0%BF%D0%BE%D0%B7%D0%B4%D0%BD%D0%B8%D0%B9_%D1%8D%D0%BD%D0%B5%D0%BE%D0%BB%D0%B8%D1%82.jpg/960px-%D0%9C%D0%B8%D0%B3%D1%80%D0%B0%D1%86%D0%B8%D0%B8_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4%D0%B0_-_%D0%BF%D0%BE%D0%B7%D0%B4%D0%BD%D0%B8%D0%B9_%D1%8D%D0%BD%D0%B5%D0%BE%D0%BB%D0%B8%D1%82.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,"A Storm of Hordes - коллектив авторов с сайта http://indo-european.eu/ - FERNANDO LÓPEZ-MENCHERO, CARLOS QUILES, MAYTE B",https://commons.wikimedia.org/wiki/File:%D0%9C%D0%B8%D0%B3%D1%80%D0%B0%D1%86%D0%B8%D0%B8_%D0%BF%D0%B5%D1%80%D0%B8%D0%BE%D0%B4%D0%B0_-_%D0%BF%D0%BE%D0%B7%D0%B4%D0%BD%D0%B8%D0%B9_%D1%8D%D0%BD%D0%B5%D0%BE%D0%BB%D0%B8%D1%82.jpg
004,가락바퀴,선사,2,가락바퀴 방추차,spindle whorl Korea neolithic,가락바퀴,선사 유물,,,,,
005,반달 돌칼,선사,2,반달돌칼,반달돌칼 semilunar stone knife,반달_돌칼,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/The_Ruin_of_Kwanyang-dong_Residences.jpg/960px-The_Ruin_of_Kwanyang-dong_Residences.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,고려,https://commons.wikimedia.org/wiki/File:The_Ruin_of_Kwanyang-dong_Residences.jpg
006,비파형 동검,선사,2,비파형동검,Liaoning bronze dagger,비파형_동검,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/56/Bronze_Daggers_of_Liaoning_Type.jpg/960px-Bronze_Daggers_of_Liaoning_Type.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"Gary Lee Todd, Ph.D.",https://commons.wikimedia.org/wiki/File:Bronze_Daggers_of_Liaoning_Type.jpg
007,세형동검,선사,2,세형동검,Korean-type bronze dagger,세형동검,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/Korean-type_bronze_dagger_and_mirror.National_Museum_of_Korea.jpg/960px-Korean-type_bronze_dagger_and_mirror.National_Museum_of_Korea.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"Ismoon ( talk ) 11:10, 3 December 2017 (UTC)",https://commons.wikimedia.org/wiki/File:Korean-type_bronze_dagger_and_mirror.National_Museum_of_Korea.jpg
008,미송리식 토기,선사,2,미송리식 토기,Misongni type pottery,미송리식_토기,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0f/Samhan_pottery_Korea_ceramics_%EC%82%BC%ED%95%9C_%EC%9E%90%EA%B8%B0.jpg/960px-Samhan_pottery_Korea_ceramics_%EC%82%BC%ED%95%9C_%EC%9E%90%EA%B8%B0.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Lightbearer03,https://commons.wikimedia.org/wiki/File:Samhan_pottery_Korea_ceramics_%EC%82%BC%ED%95%9C_%EC%9E%90%EA%B8%B0.jpg
009,강화 부근리 지석묘,선사,2,강화 부근리 지석묘,Ganghwa Bugeun-ri dolmen,강화_부근리_지석묘,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9c/Ganghwa_Bugeun-ri_dolmen.jpg/960px-Ganghwa_Bugeun-ri_dolmen.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,ChongDae,https://commons.wikimedia.org/wiki/File:Ganghwa_Bugeun-ri_dolmen.jpg
010,농경문 청동기,선사,2,농경문 청동기,Agricultural bronze artifact Korea,농경문_청동기,선사 유물,,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3b/Mohe_tribes_and_Balhae_Kingdom_Exhibits_in_the_Museum_of_the_History_of_the_Far_East_%28December_2025%29.jpg/960px-Mohe_tribes_and_Balhae_Kingdom_Exhibits_in_the_Museum_of_the_History_of_the_Far_East_%28December_2025%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,HCCB3947,https://commons.wikimedia.org/wiki/File:Mohe_tribes_and_Balhae_Kingdom_Exhibits_in_the_Museum_of_the_History_of_the_Far_East_(December_2025).jpg
